name,std,high,vol,聚類结果
HOTUSDT,0.0001837816592704373,0.00021926611974685013,0.06615397668863031,0
ICXUSDT,0.02865098474779907,0.028777447582286758,0.0002372948638770114,0
INJUSDT,0.2503804623225192,0.20057208418260838,0.00016126125241116627,0
IOSTUSDT,0.0008985150764144596,0.0013885626846157646,0.0059786759208098885,0
IOTAUSDT,0.0344110968748464,0.03190732899815364,0.0005025859772459077,0
IOTXUSDT,0.0033750267624785475,0.0030940089050262,0.0031509871746043206,0
IRISUSDT,0.0018045207016332855,0.00218895960396748,0.0007977820160905224,0
JSTUSDT,0.002173853095560819,0.0029699764526327135,0.0031336791476787897,0
JUVUSDT,0.5846228264998816,0.6666627841925058,1.3143017909167787e-05,1
KAVAUSDT,0.1890011126656873,0.17460278946272223,9.821439962643988e-05,0
KEYUSDT,0.0004781652877817328,0.0006214025864913658,0.023863792609221876,0
KMDUSDT,0.019353752852654494,0.030027462141564862,0.00012228046840568783,0
KNCUSDT,0.3192863927503971,0.20270389195812144,0.0001912690946715954,0
LINKDOWNUSDT,0.001835196928565737,0.0009864262178712585,0.012534163581620609,0
LINKUPUSDT,0.0033735761557492825,0.0015687973420000394,0.005494489165091041,0
LINKUSDT,1.0,0.8275173708903082,0.00023031308314029546,1
LRCUSDT,0.03370580194097671,0.03649071571550668,0.0005674943186914623,0
LSKUSDT,0.08812370245333037,0.12479600779846292,2.3326804071370938e-05,0
LTOUSDT,0.00626398907060203,0.008845044881239798,0.00018430085424600196,0
MANAUSDT,0.06509614145889583,0.08060944663328345,0.0005531263668961313,0
MATICUSDT,0.08653801836310435,0.09142352607634054,0.002448880996433494,0
MBLUSDT,0.00027687306711113394,0.0004854513906256931,0.0063454016368233845,0
MDTUSDT,0.0029349257747937276,0.0031366450605364604,0.001099383387604315,0
MFTUSDT,0.0011897866534033822,0.0013424381163819367,0.017886605719337742,0
MITHUSDT,0.0017839270649908656,0.0025949720848492826,0.002171513833086906,0
MTLUSDT,0.11274529476375107,0.1266371145136787,4.607259706201309e-05,0
NBSUSDT,0.0003580905343407915,0.00046800932700785913,0.004663408863377382,0
NEARUSDT,0.547592249819362,0.5114284179937831,0.0003731773022621935,1
NKNUSDT,0.008887944845099381,0.010792741985231261,0.0003634601077317051,0
NULSUSDT,0.017079785248963166,0.022953736340998853,0.00014209260289672264,0
OCEANUSDT,0.01635731702546124,0.018787021143405167,0.0005701833422339785,0
OGNUSDT,0.018167103913491127,0.017788947503051343,0.0005939514672499129,0
OGUSDT,0.7023933217071476,0.7354620351295177,1.6025029107199252e-05,1
OMGUSDT,0.193245764170238,0.20522330114736415,4.5364207973139024e-05,0
ONEUSDT,0.0023904373418031514,0.0022907049750715116,0.010225107714721692,0
ONGUSDT,0.027835221277917044,0.04009540886319238,3.512638626172909e-05,0
ONTUSDT,0.02399623938575749,0.02515337436391458,0.00029548615977454757,0
ORNUSDT,0.08580490408128387,0.1246022070915981,2.731051498180404e-05,0
OXTUSDT,0.008491625046704697,0.013505951881338775,0.0003441069118884342,0
PERLUSDT,0.0046894267281518045,0.00318121922311537,0.002894012509789962,0
PNTUSDT,0.022629156982566748,0.029542960374402807,0.00014060001269477102,0
PSGUSDT,0.8048174830369623,1.0,9.1871517261201e-06,1
QTUMUSDT,0.30005342742689667,0.3340038708590385,1.7506377385265705e-05,0
REEFUSDT,0.001187295674202384,0.0006429144649533611,0.11351762851618448,0
RENUSDT,0.014415849135172383,0.013680372517517114,0.0004835335436557589,0
REPUSDT,0.6677382079004991,0.8720915334692173,0.0,1
RIFUSDT,0.005580817341550304,0.006519436398861932,0.0002676622702656705,0
RLCUSDT,0.1541446915745375,0.14088146646824315,9.718998219930925e-05,0
ROSEUSDT,0.008472300329193,0.006782036356663766,0.007580960077409092,0
RSRUSDT,0.0013829455802914408,0.0008439826983256142,0.04245822855445042,0
RUNEUSDT,0.19976312570601717,0.2025100912512566,0.0002690925909523151,0
RVNUSDT,0.016672575321169874,0.007500067975597933,0.02982534234592483,0
SANDUSDT,0.10407581807011632,0.09929183477505231,0.0009439111062714455,0
SCUSDT,0.0003066420341241546,0.00040308609020814367,0.004850751753196232,0
SKLUSDT,0.005668253443030262,0.005146358390724658,0.0023717809422544663,0
SNXUSDT,0.27636971555652656,0.3158835047671776,0.00010971790007706103,0
SRMUSDT,0.0768949731079966,0.08933047844220046,7.385033617499147e-05,0
STMXUSDT,0.0007843090130892481,0.0008083233682624869,0.007141644218961851,0
STORJUSDT,0.05175550388268982,0.05677195968891032,0.00014547059130443917,0
STPTUSDT,0.006197448350569397,0.008304340909086943,0.0014938243458638427,0
STRAXUSDT,0.04696884225841591,0.06210147912769293,5.306033869545063e-05,0
STXUSDT,0.03483875952652357,0.04252760773434589,7.617175657938017e-05,0
SUNUSDT,0.0005544667594447587,0.0006298329172399857,0.008162177939978426,0
SUSHIUSDT,0.14895821446605795,0.1335170396073799,0.0001948142663735406,0
SXPUSDT,0.0395145443641846,0.038767874021168346,0.0004713710624325814,0
TCTUSDT,0.0012053890854644281,0.0011007686349214939,0.003136047503593446,0
TFUELUSDT,0.005166338383498628,0.006364395833370074,0.0010893090499735838,0
THETAUSDT,0.10920232627698842,0.1185943851787886,0.0002205919042195733,0
TOMOUSDT,0.04878111597690485,0.053041296081762494,6.610273184974239e-05,0
