open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,name
1617926400000,38.365,43.864,38.124,39.849,1894707.886,1618012799999,78606563.942996,90443,797049.365,32678945.863048,0,SUNUSDT
1618012800000,39.86,43.7,38.889,42.748000000000005,1691397.576,1618099199999,69798559.105986,72135,825409.36,33669541.222859,0,SUNUSDT
1618099200000,42.818000000000005,43.364,38.93,40.539,2420642.262,1618185599999,99210148.456692,78333,1299748.273,52791071.787271,0,SUNUSDT
1618185600000,40.537,42.807,39.558,40.487,1872362.956,1618271999999,76988980.41036099,83585,882987.287,36120940.573442,0,SUNUSDT
1618272000000,40.551,42.7,39.7,40.906,1815448.997,1618358399999,74715946.28345601,80752,833754.349,34098044.159407,0,SUNUSDT
1618358400000,40.876,42.3,39.678,40.969,2985095.26,1618444799999,122221775.478801,93084,1354743.32,55096385.45841,0,SUNUSDT
1618444800000,41.0,41.32,40.082,40.741,1469630.204,1618531199999,59492431.531613,64734,925101.958,37453143.297987,0,SUNUSDT
1618531200000,40.787,45.3,38.343,43.46,1143879.687,1618617599999,47337937.488749,71237,461694.376,18995025.829881,0,SUNUSDT
1618617600000,43.527,50.283,43.443000000000005,47.669,429093.352,1618703999999,20298150.563934,48314,241347.101,11421462.989657002,0,SUNUSDT
1618704000000,47.782,47.953,40.4,43.49,374509.73,1618790399999,15790118.013153,30469,143270.737,6073804.797902999,0,SUNUSDT
1618790400000,43.469,45.337,37.717,38.86,1379836.467,1618876799999,56082157.573242,61947,618128.311,24934173.266796,0,SUNUSDT
1618876800000,38.884,42.295,35.778,40.879,1585450.664,1618963199999,62734039.228493005,60014,646087.416,25264894.484233,0,SUNUSDT
1618963200000,41.02,42.443000000000005,38.18,38.235,2715363.913,1619049599999,109278275.226782,87729,1266451.123,50683086.50685,0,SUNUSDT
1619049600000,38.314,40.283,33.0,33.33,1655010.244,1619135999999,63061272.306585,67844,768569.738,29184765.273968,0,SUNUSDT
1619136000000,33.328,33.883,25.5,31.242,465827.572,1619222399999,13592470.953022,28700,208785.718,6086727.748439,0,SUNUSDT
1619222400000,31.255,32.351,28.679,29.093000000000004,187652.094,1619308799999,5715580.322663,14304,99306.568,3024460.705868,0,SUNUSDT
1619308800000,29.094,30.72,25.276,27.028,213788.819,1619395199999,6069510.132514,18368,108211.107,3068802.3741880003,0,SUNUSDT
1619395200000,27.08,31.9,26.639,31.89,266672.555,1619481599999,7975689.408906,23455,146032.663,4360884.657485,0,SUNUSDT
1619481600000,31.831,35.9,31.496,33.293,140838.435,1619567999999,4633720.433038,17959,72934.745,2402224.377123,0,SUNUSDT
1619568000000,33.334,34.899,30.412,33.909,206716.715,1619654399999,6772806.027394,19077,92605.869,3035576.807248,0,SUNUSDT
1619654400000,33.945,34.839,31.697,32.99,359260.694,1619740799999,12139573.304079,20795,235283.131,7962711.28775,0,SUNUSDT
1619740800000,32.989000000000004,35.48,32.5,35.109,237615.238,1619827199999,8136999.243960001,18945,144107.47400000002,4939968.320206,0,SUNUSDT
1619827200000,35.107,35.668,33.929,34.75,128435.642,1619913599999,4467861.862094,13128,72116.032,2508743.647361,0,SUNUSDT
